Java HotSpot(TM) 64-Bit Server VM (25.291-b10) for bsd-amd64 JRE (1.8.0_291-b10), built on Apr  8 2021 02:17:24 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 11.0.0 (clang-1100.0.33.17)
Memory: 4k page, physical 16777216k(107496k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=209715200 -XX:MaxTenuringThreshold=15 -XX:NewSize=209715200 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=20971520 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
95.114: [GC (Allocation Failure) 95.114: [ParNew: 124884K->0K(153600K), 0.0004270 secs] 125839K->954K(256000K), 0.0004935 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.120: [GC (Allocation Failure) 96.120: [ParNew: 94164K->10240K(153600K), 0.0016971 secs] 95119K->11194K(256000K), 0.0018055 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
97.130: [GC (Allocation Failure) 97.130: [ParNew: 104404K->10240K(153600K), 0.0008632 secs] 105359K->11194K(256000K), 0.0010179 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.144: [GC (Allocation Failure) 98.145: [ParNew: 104404K->10240K(153600K), 0.0013466 secs] 105359K->11194K(256000K), 0.0019244 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
99.154: [GC (Allocation Failure) 99.154: [ParNew: 104404K->0K(153600K), 0.0006040 secs] 105359K->954K(256000K), 0.0007265 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
100.163: [GC (Allocation Failure) 100.163: [ParNew: 94164K->10240K(153600K), 0.0013416 secs] 95119K->11194K(256000K), 0.0014953 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
101.177: [GC (Allocation Failure) 101.177: [ParNew: 104404K->20480K(153600K), 0.0023197 secs] 105359K->21434K(256000K), 0.0024463 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
102.191: [GC (Allocation Failure) 102.191: [ParNew: 114644K->30720K(153600K), 0.0034923 secs] 115599K->31674K(256000K), 0.0036514 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
104.210: [GC (Allocation Failure) 104.210: [ParNew: 124884K->0K(153600K), 0.0011132 secs] 125839K->954K(256000K), 0.0013119 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
105.225: [GC (Allocation Failure) 105.226: [ParNew: 94164K->10240K(153600K), 0.0018826 secs] 95119K->11194K(256000K), 0.0025227 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
106.241: [GC (Allocation Failure) 106.241: [ParNew: 104404K->10240K(153600K), 0.0012622 secs] 105359K->11194K(256000K), 0.0013752 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
107.253: [GC (Allocation Failure) 107.253: [ParNew: 104404K->10240K(153600K), 0.0013904 secs] 105359K->11194K(256000K), 0.0015883 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
108.264: [GC (Allocation Failure) 108.264: [ParNew: 104404K->0K(153600K), 0.0008597 secs] 105359K->954K(256000K), 0.0010107 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
109.280: [GC (Allocation Failure) 109.280: [ParNew: 94164K->10240K(153600K), 0.0012610 secs] 95119K->11194K(256000K), 0.0014170 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
110.294: [GC (Allocation Failure) 110.294: [ParNew: 104404K->20480K(153600K), 0.0021971 secs] 105359K->21434K(256000K), 0.0023611 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
111.311: [GC (Allocation Failure) 111.312: [ParNew: 114644K->30720K(153600K), 0.0037048 secs] 115599K->31674K(256000K), 0.0041288 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
113.333: [GC (Allocation Failure) 113.333: [ParNew: 124884K->0K(153600K), 0.0017433 secs] 125839K->954K(256000K), 0.0021022 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
114.349: [GC (Allocation Failure) 114.349: [ParNew: 94164K->10240K(153600K), 0.0013380 secs] 95119K->11194K(256000K), 0.0014719 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
115.363: [GC (Allocation Failure) 115.363: [ParNew: 104404K->10240K(153600K), 0.0012840 secs] 105359K->11194K(256000K), 0.0014883 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
116.373: [GC (Allocation Failure) 116.373: [ParNew: 104404K->10240K(153600K), 0.0012395 secs] 105359K->11194K(256000K), 0.0013933 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
